sample_id,label,expected_logit,fpga_logit,expected_prediction,fpga_prediction,logit_exact,prediction_exact,classification_correct,result_index,result_tag,bottom_count,interaction_count
117,1,1458,1458,1,1,1,1,1,0,4,8,18
118,1,583,583,1,1,1,1,1,0,4,8,18
119,1,1316,1316,1,1,1,1,1,0,4,8,18
120,0,-2588,-2588,0,0,1,1,1,0,4,8,18
121,1,-675,-675,0,0,1,1,0,0,4,8,18
122,1,3070,3070,1,1,1,1,1,0,4,8,18
123,0,-2183,-2183,0,0,1,1,1,0,4,8,18
124,0,-4022,-4022,0,0,1,1,1,0,4,8,18
125,1,-102,-102,0,0,1,1,0,0,4,8,18
126,0,-1,-1,0,0,1,1,1,0,4,8,18
127,1,1383,1383,1,1,1,1,1,0,4,8,18
128,0,-928,-928,0,0,1,1,1,0,4,8,18
129,0,-1707,-1707,0,0,1,1,1,0,4,8,18
130,0,-243,-243,0,0,1,1,1,0,4,8,18
131,0,-2767,-2767,0,0,1,1,1,0,4,8,18
132,0,-893,-893,0,0,1,1,1,0,4,8,18
133,1,948,948,1,1,1,1,1,0,4,8,18
134,1,1650,1650,1,1,1,1,1,0,4,8,18
135,0,-3695,-3695,0,0,1,1,1,0,4,8,18
136,0,-2340,-2340,0,0,1,1,1,0,4,8,18
137,0,-404,-404,0,0,1,1,1,0,4,8,18
138,0,-1103,-1103,0,0,1,1,1,0,4,8,18
139,0,-367,-367,0,0,1,1,1,0,4,8,18
140,0,-731,-731,0,0,1,1,1,0,4,8,18
141,1,1606,1606,1,1,1,1,1,0,4,8,18
142,0,-794,-794,0,0,1,1,1,0,4,8,18
143,0,249,249,1,1,1,1,0,0,4,8,18
144,1,2174,2174,1,1,1,1,1,0,4,8,18
145,1,1008,1008,1,1,1,1,1,0,4,8,18
146,1,761,761,1,1,1,1,1,0,4,8,18
147,0,-1612,-1612,0,0,1,1,1,0,4,8,18
148,0,-2617,-2617,0,0,1,1,1,0,4,8,18
149,0,-1913,-1913,0,0,1,1,1,0,4,8,18
150,1,-678,-678,0,0,1,1,0,0,4,8,18
151,1,333,333,1,1,1,1,1,0,4,8,18
152,1,120,120,1,1,1,1,1,0,4,8,18
153,0,175,175,1,1,1,1,0,0,4,8,18
154,1,3481,3481,1,1,1,1,1,0,4,8,18
155,1,1111,1111,1,1,1,1,1,0,4,8,18
156,1,2061,2061,1,1,1,1,1,0,4,8,18
157,0,-3336,-3336,0,0,1,1,1,0,4,8,18
158,1,538,538,1,1,1,1,1,0,4,8,18
159,0,-714,-714,0,0,1,1,1,0,4,8,18
160,0,-434,-434,0,0,1,1,1,0,4,8,18
161,1,1022,1022,1,1,1,1,1,0,4,8,18
162,0,-497,-497,0,0,1,1,1,0,4,8,18
163,1,1143,1143,1,1,1,1,1,0,4,8,18
164,1,1612,1612,1,1,1,1,1,0,4,8,18
165,0,306,306,1,1,1,1,0,0,4,8,18
166,1,275,275,1,1,1,1,1,0,4,8,18
167,0,-1620,-1620,0,0,1,1,1,0,4,8,18
168,1,1836,1836,1,1,1,1,1,0,4,8,18
169,1,1417,1417,1,1,1,1,1,0,4,8,18
170,0,-877,-877,0,0,1,1,1,0,4,8,18
171,1,1126,1126,1,1,1,1,1,0,4,8,18
172,1,-304,-304,0,0,1,1,0,0,4,8,18
173,1,811,811,1,1,1,1,1,0,4,8,18
174,0,-3126,-3126,0,0,1,1,1,0,4,8,18
175,1,606,606,1,1,1,1,1,0,4,8,18
176,0,-1313,-1313,0,0,1,1,1,0,4,8,18
177,1,839,839,1,1,1,1,1,0,4,8,18
178,1,3829,3829,1,1,1,1,1,0,4,8,18
179,1,2376,2376,1,1,1,1,1,0,4,8,18
180,0,-249,-249,0,0,1,1,1,0,4,8,18
181,0,-657,-657,0,0,1,1,1,0,4,8,18
182,1,263,263,1,1,1,1,1,0,4,8,18
183,0,-1911,-1911,0,0,1,1,1,0,4,8,18
184,0,-1469,-1469,0,0,1,1,1,0,4,8,18
185,1,-695,-695,0,0,1,1,0,0,4,8,18
186,0,-1466,-1466,0,0,1,1,1,0,4,8,18
187,1,391,391,1,1,1,1,1,0,4,8,18
188,0,-1611,-1611,0,0,1,1,1,0,4,8,18
189,0,-744,-744,0,0,1,1,1,0,4,8,18
190,1,-584,-584,0,0,1,1,0,0,4,8,18
191,1,1011,1011,1,1,1,1,1,0,4,8,18
192,0,-922,-922,0,0,1,1,1,0,4,8,18
193,0,-2641,-2641,0,0,1,1,1,0,4,8,18
194,1,2727,2727,1,1,1,1,1,0,4,8,18
195,1,2331,2331,1,1,1,1,1,0,4,8,18
196,1,657,657,1,1,1,1,1,0,4,8,18
197,1,-710,-710,0,0,1,1,0,0,4,8,18
198,0,-1787,-1787,0,0,1,1,1,0,4,8,18
199,0,-2581,-2581,0,0,1,1,1,0,4,8,18
200,0,-1249,-1249,0,0,1,1,1,0,4,8,18
201,0,-2069,-2069,0,0,1,1,1,0,4,8,18
202,1,981,981,1,1,1,1,1,0,4,8,18
203,1,16,16,1,1,1,1,1,0,4,8,18
204,1,387,387,1,1,1,1,1,0,4,8,18
205,0,-2487,-2487,0,0,1,1,1,0,4,8,18
206,0,-1069,-1069,0,0,1,1,1,0,4,8,18
207,1,710,710,1,1,1,1,1,0,4,8,18
208,0,-85,-85,0,0,1,1,1,0,4,8,18
209,0,-458,-458,0,0,1,1,1,0,4,8,18
210,0,-208,-208,0,0,1,1,1,0,4,8,18
211,1,-34,-34,0,0,1,1,0,0,4,8,18
212,1,955,955,1,1,1,1,1,0,4,8,18
213,0,-813,-813,0,0,1,1,1,0,4,8,18
214,1,998,998,1,1,1,1,1,0,4,8,18
215,0,-1674,-1674,0,0,1,1,1,0,4,8,18
216,0,-1251,-1251,0,0,1,1,1,0,4,8,18
217,0,-3539,-3539,0,0,1,1,1,0,4,8,18
218,0,-1954,-1954,0,0,1,1,1,0,4,8,18
219,0,-3014,-3014,0,0,1,1,1,0,4,8,18
220,0,-1294,-1294,0,0,1,1,1,0,4,8,18
221,0,-3125,-3125,0,0,1,1,1,0,4,8,18
222,1,-38,-38,0,0,1,1,0,0,4,8,18
223,0,-1288,-1288,0,0,1,1,1,0,4,8,18
224,1,944,944,1,1,1,1,1,0,4,8,18
225,0,-3169,-3169,0,0,1,1,1,0,4,8,18
226,0,-12,-12,0,0,1,1,1,0,4,8,18
227,1,3171,3171,1,1,1,1,1,0,4,8,18
228,0,-3389,-3389,0,0,1,1,1,0,4,8,18
229,1,126,126,1,1,1,1,1,0,4,8,18
230,0,-311,-311,0,0,1,1,1,0,4,8,18
231,0,-1000,-1000,0,0,1,1,1,0,4,8,18
232,0,-720,-720,0,0,1,1,1,0,4,8,18
233,1,95,95,1,1,1,1,1,0,4,8,18
234,1,-204,-204,0,0,1,1,0,0,4,8,18
235,0,-2953,-2953,0,0,1,1,1,0,4,8,18
236,0,-1911,-1911,0,0,1,1,1,0,4,8,18
237,0,-2330,-2330,0,0,1,1,1,0,4,8,18
238,1,2661,2661,1,1,1,1,1,0,4,8,18
239,0,144,144,1,1,1,1,0,0,4,8,18
240,1,1071,1071,1,1,1,1,1,0,4,8,18
241,0,-1872,-1872,0,0,1,1,1,0,4,8,18
242,0,243,243,1,1,1,1,0,0,4,8,18
243,0,-1924,-1924,0,0,1,1,1,0,4,8,18
244,0,-2450,-2450,0,0,1,1,1,0,4,8,18
245,0,-1130,-1130,0,0,1,1,1,0,4,8,18
246,1,-266,-266,0,0,1,1,0,0,4,8,18
247,0,-21,-21,0,0,1,1,1,0,4,8,18
248,0,-3388,-3388,0,0,1,1,1,0,4,8,18
249,1,760,760,1,1,1,1,1,0,4,8,18
250,1,978,978,1,1,1,1,1,0,4,8,18
251,1,874,874,1,1,1,1,1,0,4,8,18
252,0,-1203,-1203,0,0,1,1,1,0,4,8,18
253,0,-314,-314,0,0,1,1,1,0,4,8,18
254,0,-1087,-1087,0,0,1,1,1,0,4,8,18
255,1,1527,1527,1,1,1,1,1,0,4,8,18
