sample_id,label,prediction,classification_correct,expected_logit,dense,categorical_ids,embedding_0,embedding_1,embedding_2,embedding_3,expected_bottom,expected_interaction
19,1,1,1,1306,1027;2529;528;415;1314;-739;-3522;-1439,38;71;63;104,-185;184;-60;177;377;495;383;-251,-427;-595;-208;-737;541;-548;-213;-170,26;93;481;150;-223;77;-60;-55,-208;-358;-80;-182;-192;-79;-236;-129,4818;3131;2419;0;0;2745;5834;115,4818;3131;2419;0;0;2745;5834;115;1516;-3511;-124;701;-22;-204;-1917;-110;227;-23
20,1,1,1,105,414;666;-680;211;3048;725;-566;-214,19;67;22;72,209;167;-302;6;-33;46;-88;120,138;268;693;110;-330;-160;228;-138,137;-400;162;169;73;67;355;218,263;20;72;590;-220;-42;17;-371,2128;0;1109;0;0;837;1382;2698,2128;0;1109;0;0;837;1382;2698;171;425;-82;784;-44;29;-182;0;142;22
21,1,1,1,551,-34;1398;-572;1001;-496;-2441;3721;-1111,34;5;70;95,77;-271;393;-135;-157;-130;188;263,-15;-178;52;124;379;54;-281;-117,512;-65;-290;255;-459;-2;68;-31,31;-97;-108;-41;275;-216;108;-266,1819;3247;1428;2727;0;1196;4193;1492,1819;3247;1428;2727;0;1196;4193;1492;234;-723;-49;605;-7;-83;-355;-36;49;-33
22,0,1,0,209,1355;-1622;-35;821;5290;-1237;-1731;1361,63;20;7;29,-258;258;-70;-108;272;162;195;101,436;373;17;65;85;175;477;-102,-102;-100;489;43;97;235;-287;10,-359;-269;19;214;-212;-268;-188;24,2141;0;1234;0;0;2022;52;2939,2141;0;1234;0;0;2022;52;2939;-2;505;54;427;-14;-78;-599;-67;-195;26
23,1,1,1,402,2550;984;-3397;19;444;-1266;-798;3040,11;3;47;19,41;-54;-320;-21;-103;-166;-6;228,-55;305;309;-27;23;21;-43;306,-401;-311;-41;-24;-242;-2;214;181,-322;-150;239;-136;-75;-241;-441;-402,1609;301;1865;3543;0;1303;1926;2478,1609;301;1865;3543;0;1303;1926;2478;-139;579;-26;-21;39;-22;-1347;-59;-30;10
24,0,0,1,-1184,-500;10;-3631;297;-713;1328;2643;1897,16;50;48;127,178;35;-187;115;323;175;-191;238,158;131;419;-140;243;371;-78;45,-399;9;221;-187;-13;-3;-452;-104,-247;-175;-14;245;-57;-23;-111;423,794;0;917;5499;0;1606;0;5427,794;0;917;5499;0;1606;0;5427;1062;283;52;-836;-37;41;1659;39;-47;27
25,1,0,0,-162,-606;-344;2373;-955;373;1485;-2757;-3531,27;20;36;63,-87;191;215;-129;498;-79;-63;-145,436;373;17;65;85;175;477;-102,574;249;380;168;188;259;-202;604,268;272;167;-333;163;315;-170;268,2784;326;1705;0;0;5236;981;2827,2784;326;1705;0;0;5236;981;2827;-341;1201;20;2535;27;129;1640;66;78;262
26,1,1,1,685,733;-43;-386;953;579;1339;771;-772,25;27;68;95,425;19;222;-43;117;-106;-175;288,268;448;422;-230;-76;-95;-172;-171,286;70;-281;140;70;-48;-195;140,31;-97;-108;-41;275;-216;108;-266,2317;998;1291;0;0;550;954;969,2317;998;1291;0;0;550;954;969;656;601;102;143;69;-17;-214;-25;-22;-1
27,0,0,1,-958,-2087;2886;-4277;-378;-923;3639;684;3352,60;31;74;121,-150;308;107;-260;124;8;-554;194,277;-283;-327;-103;67;-396;22;64,-125;-78;-424;13;-218;-113;3;-213,44;725;98;339;152;614;212;203,3030;0;0;6756;0;1051;3560;6042,3030;0;0;6756;0;1051;3560;6042;-1466;94;-64;-823;-61;69;2466;41;-232;-119
28,0,0,1,-285,-2569;934;457;512;2748;455;-156;2825,50;69;17;38,-1;315;-352;-376;277;-56;-156;-178,-68;331;-91;-65;68;244;-22;109,-2;-573;187;55;11;-217;176;-48,-175;-302;-55;253;-164;-36;246;22,2009;0;200;1502;0;2405;1312;2997,2009;0;200;1502;0;2405;1312;2997;-737;309;73;-156;-132;-133;156;-125;-60;110
29,0,0,1,-851,-1505;205;-1126;402;-2013;-1322;880;1387,3;47;95;17,-341;309;108;222;235;272;10;-414,-174;-441;-19;-166;8;90;45;353,-421;-370;-79;29;272;-65;-337;62,-15;-138;-171;224;-3;108;81;39,170;829;169;3130;0;3177;1550;2927,170;829;169;3130;0;3177;1550;2927;283;230;-115;-414;22;115;556;3;28;22
30,0,0,1,-3305,-2231;-4001;1727;712;-2535;-374;-1076;555,46;77;36;38,119;294;401;-143;126;110;-342;-134,-183;232;-296;79;146;10;-229;-293,574;249;380;168;188;259;-202;604,-175;-302;-55;253;-164;-36;246;22,274;0;484;1046;0;7325;0;8601,274;0;484;1046;0;7325;0;8601;-132;-1249;26;3715;151;-121;56;-136;-43;-113
31,0,0,1,-807,1702;-1049;-715;-1172;2431;402;2283;1298,56;37;78;36,34;298;82;-302;237;-221;137;-11,-301;-89;225;-21;462;167;-196;105,173;-92;341;-16;-122;347;293;40,335;-461;180;179;46;650;-41;315,664;0;274;1692;0;935;0;2695,664;0;274;1692;0;935;0;2695;-343;130;16;300;-27;-9;992;-150;72;185
32,1,1,1,1366,-755;-230;-1118;2125;-3769;-1116;-1697;1069,16;51;55;96,178;35;-187;115;323;175;-191;238,114;102;310;54;128;447;281;308,157;45;51;184;-94;-194;-66;175,-352;57;84;-384;243;98;-432;41,2459;2223;908;927;0;6562;2799;2327,2459;2223;908;927;0;6562;2799;2327;791;2576;54;-170;15;-7;-727;33;-31;-61
33,0,0,1,-798,2043;-3561;703;-434;-25;-4549;1939;1315,39;44;60;14,-157;-108;241;66;-315;198;329;105,354;139;25;-213;300;131;-42;-94,86;240;397;-215;9;-20;-147;196,104;-13;291;321;204;348;272;-187,765;666;666;985;0;3317;0;2540,765;666;666;985;0;3317;0;2540;467;179;-83;347;4;52;615;74;42;-14
34,1,1,1,690,-286;-958;6299;-1244;-1262;-2532;2195;-1771,30;63;44;78,469;287;9;138;-404;311;189;-104,-311;-34;188;75;-80;-203;118;-368,131;-204;432;-106;168;123;322;232,150;-212;-248;21;-77;106;188;18,1654;3127;1591;0;0;5911;3944;0,1654;3127;1591;0;0;5911;3944;0;2086;-516;-56;1105;0;-23;273;53;-41;9
35,1,1,1,1637,1598;1123;2110;2123;3090;-1011;863;4292,33;9;58;47,-256;23;-193;149;-93;-20;-347;-179,-94;-34;-261;-443;-36;-494;-61;-221,-1;-283;-203;-304;-95;-207;-355;396,53;-127;-29;10;250;-55;121;34,5033;5586;3055;0;0;3304;7785;0,5033;5586;3055;0;0;3304;7785;0;-2206;-1742;40;-2761;26;116;112;-39;3;-2
36,1,0,0,-415,1110;-142;527;-1505;-3486;-2005;-1793;-3758,61;65;74;40,231;-180;434;397;649;258;13;135,-379;132;-452;-37;250;-308;282;-301,-125;-78;-424;13;-218;-113;3;-213,268;39;-104;-113;133;210;-294;-145,2155;1168;2894;1711;0;5496;1746;4981,2155;1168;2894;1711;0;5496;1746;4981;2117;-2311;-135;-1583;-192;134;23;40;-57;-8
37,1,1,1,2376,5730;-2139;1981;2539;-199;-354;1306;40,7;59;9;110,184;406;108;402;189;-21;291;542,388;159;-49;-157;-246;14;-111;-84,288;299;32;195;-166;372;211;485,-248;-379;40;141;-93;222;-233;-255,5378;3711;5253;0;0;7133;4333;0,5378;3711;5253;0;0;7133;4333;0;2038;995;-28;3122;264;53;-955;-179;-52;-113
38,1,1,1,1152,-684;1456;2218;-32;-2061;-2552;863;-2012,7;11;70;49,184;406;108;402;189;-21;291;542,-363;439;-204;-77;-238;-78;146;-190,512;-65;-290;255;-459;-2;68;-31,-219;-80;-105;314;83;-259;224;-344,2023;3137;708;4;0;3605;4714;0,2023;3137;708;4;0;3605;4714;0;1475;442;-22;459;27;-24;-315;-28;68;-4
39,0,0,1,-2604,-821;-5327;-123;-2946;95;-4213;32;1375,58;35;37;28,0;-286;-212;-83;-5;41;-200;-135,-351;98;342;-296;390;145;-331;-116,175;16;-143;-117;-209;-42;-168;-55,-316;127;-136;-170;164;-91;204;43,0;0;0;6139;0;5161;0;9809,0;0;0;6139;0;5161;0;9809;-792;-1077;5;-720;37;-49;-533;-22;51;-40
40,0,0,1,-442,-344;834;-3529;1824;153;-772;1918;863,39;18;77;13,-157;-108;241;66;-315;198;329;105,310;253;-196;-53;130;4;-256;-117,295;-213;204;91;-118;94;61;449,-217;61;-81;-277;471;-200;160;-421,1039;998;1558;4961;0;925;1330;3658,1039;998;1558;4961;0;925;1330;3658;702;-370;-129;1306;76;-44;-1551;-93;23;-182
41,0,0,1,-3506,-3224;-3027;-397;177;138;3291;10;799,39;21;7;92,-157;-108;241;66;-315;198;329;105,-315;-5;-270;-363;313;-71;-144;-521,-102;-100;489;43;97;235;-287;10,-139;-197;-218;201;411;27;-285;-180,69;0;0;4840;0;5928;0;10086,69;0;0;4840;0;5928;0;10086;1241;-3640;-124;828;34;-32;-338;-114;143;30
42,1,0,0,-251,-621;1373;291;-428;-617;1778;2285;6354,39;15;33;94,-157;-108;241;66;-315;198;329;105,150;-107;278;-436;185;13;136;-188,-169;-150;197;96;-171;-186;17;134,-18;176;71;459;42;86;191;166,2709;962;897;4614;0;3022;2796;1294,2709;962;897;4614;0;3022;2796;1294;804;-626;-2;-158;65;-26;1617;56;-97;18
43,0,0,1,-2341,-3896;-1694;-1013;1637;2663;3497;1100;91,20;28;67;125,-39;577;198;-84;-223;269;392;-107,-172;-78;-158;-418;-174;77;-134;-33,21;334;-149;-242;-48;155;219;79,169;238;104;224;-336;304;120;-27,1548;0;0;3528;0;4564;0;8164,1548;0;0;3528;0;4564;0;8164;-1;-810;-12;259;153;41;1083;166;-44;49
44,1,1,1,1477,2036;3160;-1900;-1307;-2963;-2399;165;-242,4;67;26;85,-205;-396;-374;71;-376;-272;247;68,138;268;693;110;-330;-160;228;-138,-155;82;385;301;306;-137;-217;-8,35;-150;-312;262;-56;76;-151;16,3703;3330;2901;3905;0;1223;6188;2556,3703;3330;2901;3905;0;1223;6188;2556;-740;2298;-84;225;-125;85;-514;74;-124;-26
45,0,0,1,-1567,-1550;-1396;-122;-1389;3377;2201;834;-1835,27;61;32;79,-87;191;215;-129;498;-79;-63;-145,163;-76;355;218;-159;-108;306;-170,-50;-350;17;275;11;404;-48;6,-15;-37;-66;134;-141;326;-185;-213,464;0;325;2162;0;1936;0;6218,464;0;325;2162;0;1936;0;6218;-637;-295;-22;682;-58;11;-211;-44;-13;91
46,1,1,1,68,-349;-2594;1795;856;-1887;-1161;-398;-1767,4;62;93;65,-205;-396;-374;71;-376;-272;247;68,736;285;328;212;-133;67;211;116,-9;188;-185;54;-215;-77;192;-33,218;-12;192;5;421;-73;-236;210,1334;513;1379;0;0;6477;0;3813,1334;513;1379;0;0;6477;0;3813;-1218;1200;-137;-388;72;28;428;-143;66;-86
47,0,0,1,-1464,-871;1695;-2452;-359;-4232;658;-3984;2918,57;66;38;92,60;-51;-75;241;-210;170;-239;-23,53;-31;232;-318;-310;337;25;50,91;11;130;293;117;285;-79;336,-139;-197;-218;201;411;27;-285;-180,1995;69;114;3973;0;5932;2031;4657,1995;69;114;3973;0;5932;2031;4657;723;561;13;2176;49;8;-378;28;-122;16
48,0,0,1,-774,1309;-2575;4;-2128;-1209;1328;-2910;1578,6;28;20;1,-48;-154;-164;-190;-134;185;344;-86,-172;-78;-158;-418;-174;77;-134;-33,-256;297;307;90;190;-339;71;-181,47;-2;-55;418;-346;-113;-35;80,170;0;835;205;0;6186;0;4997,170;0;835;205;0;6186;0;4997;259;32;59;-1353;-73;-62;-123;-32;-59;-18
49,0,0,1,-3768,-507;-448;-7083;-1062;43;-799;-541;824,34;63;23;26,77;-271;393;-135;-157;-130;188;263,-311;-34;188;75;-80;-203;118;-368,19;42;-34;36;74;692;111;495,61;46;227;-115;403;-345;-338;-106,0;0;1158;12316;0;409;0;14176,0;0;1158;12316;0;409;0;14176;1205;-2030;7;3762;10;-159;-1366;-6;25;-150
50,1,1,1,849,-586;3105;-1437;948;1768;-381;2455;2385,35;48;68;121,-158;169;120;53;-711;-104;239;789,-175;475;143;58;-204;688;57;232,286;70;-281;140;70;-48;-195;140,44;725;98;339;152;614;212;203,3167;1144;1136;933;0;2304;4772;865,3167;1144;1136;933;0;2304;4772;865;714;1105;194;-60;-20;-37;1952;90;401;25
51,1,0,0,-680,3301;2096;457;-4519;-999;2451;733;-2275,50;77;77;118,-1;315;-352;-376;277;-56;-156;-178,-183;232;-296;79;146;10;-229;-293,295;-213;204;91;-118;94;61;449,-34;-428;121;110;-129;142;47;14,3330;0;2036;2488;0;0;2821;4782,3330;0;2036;2488;0;0;2821;4782;-1439;-1495;135;1925;-147;-155;296;-133;-74;75
52,0,0,1,-2177,-3472;-1494;-1124;1767;2736;-528;-1669;1984,13;13;24;71,-45;-71;-115;-121;69;-80;-370;-62,-85;-372;267;19;259;1;-374;-301,-203;-199;224;14;-221;-167;-95;-25,-318;-69;-404;216;-94;115;439;598,402;0;0;3775;0;4018;0;6725,402;0;0;3775;0;4018;0;6725;-592;-968;84;-424;15;67;2525;-86;-205;-31
53,1,1,1,758,-386;2047;-1646;-298;-3098;1444;-1622;-319,52;44;48;5,216;306;368;133;191;349;285;187,354;139;25;-213;300;131;-42;-94,-399;9;221;-187;-13;-3;-452;-104,-54;50;-649;113;172;-234;-222;-410,2755;774;170;3864;0;1355;3137;3768,2755;774;170;3864;0;1355;3137;3768;1699;-22;85;-1753;-87;-34;-1144;-200;8;-1
54,0,0,1,-2402,-1311;-2641;-2086;21;1773;-3496;-1537;-1019,43;18;17;109,478;152;150;-158;283;-99;-153;-123,310;253;-196;-53;130;4;-256;-117,-2;-573;187;55;11;-217;176;-48,-40;20;216;227;-213;421;-256;549,0;0;0;6374;0;2649;0;8304,0;0;0;6374;0;2649;0;8304;-1119;-634;125;-304;-32;-109;3477;-73;-42;-60
55,1,1,1,1589,1147;3617;-563;-1369;-2363;406;2734;323,30;0;74;40,469;287;9;138;-404;311;189;-104,146;103;62;-7;-9;-164;166;-80,-125;-78;-424;13;-218;-113;3;-213,268;39;-104;-113;133;210;-294;-145,3538;2926;886;3693;0;136;6706;1633,3538;2926;886;3693;0;136;6706;1633;2030;882;44;-655;-4;-7;-794;45;-17;-8
56,1,1,1,969,-86;2076;-3488;2265;1038;2825;3071;454,9;2;34;3,317;208;-340;54;-371;-186;116;-195,67;-143;-35;-386;-386;130;88;-55,-136;-380;-280;95;330;-165;-111;-149,-382;-319;-86;-143;-156;206;-101;-134,5112;531;1449;2726;0;0;2694;3914,5112;531;1449;2726;0;0;2694;3914;456;-398;60;-940;-48;-64;-1676;-64;80;63
57,0,1,0,2,-1262;-378;-2905;3696;-3767;570;-700;-2009,58;10;74;26,0;-286;-212;-83;-5;41;-200;-135,193;199;252;-247;84;182;-12;-116,-125;-78;-424;13;-218;-113;3;-213,61;46;227;-115;403;-345;-338;-106,3320;2863;1185;3202;0;4653;698;5760,3320;2863;1185;3202;0;4653;698;5760;-1007;434;-32;-1391;66;-80;-1082;7;46;-67
58,1,1,1,150,1658;-610;273;384;642;1327;3455;-1855,2;11;26;29,203;32;-68;32;293;314;-326;-187,-363;439;-204;-77;-238;-78;146;-190,-155;82;385;301;306;-137;-217;-8,-359;-269;19;214;-212;-268;-188;24,1864;1110;1534;0;0;429;0;2474,1864;1110;1534;0;0;429;0;2474;-9;-491;-75;153;36;-50;-485;-81;15;58
59,0,0,1,-1572,-2486;349;-1207;2082;-841;52;-1495;596,57;52;84;68,60;-51;-75;241;-210;170;-239;-23,-114;-276;267;124;69;-115;377;-77,-222;64;296;153;78;226;-127;618,-76;-388;252;-105;133;279;375;282,828;735;0;3249;0;4210;1018;3168,828;735;0;3249;0;4210;1018;3168;583;-117;-51;1533;18;-5;860;-52;130;122
60,1,1,1,2144,4999;2063;2155;2331;3637;-859;-1586;-130,46;35;75;32,119;294;401;-143;126;110;-342;-134,-351;98;342;-296;390;145;-331;-116,270;-359;-469;182;-94;246;283;48,30;146;107;-37;138;-2;170;416,7017;6850;4185;0;0;6382;10025;0,7017;6850;4185;0;0;6382;10025;0;879;-1344;176;918;-183;-217;1636;-1;0;-23
61,0,0,1,-1737,-4677;1189;1483;-411;2182;2845;-521;1417,8;32;8;87,-78;-108;372;218;-299;375;175;371,205;421;296;246;110;-105;49;-380,61;2;415;285;-162;354;342;-2,-88;-255;-237;-18;123;579;57;-29,2340;0;0;2933;0;3755;1252;5440,2340;0;0;2933;0;3755;1252;5440;2003;-585;-50;1331;221;82;893;60;-114;46
62,0,0,1,-783,-374;-279;2046;-3973;2244;1118;-1385;446,46;34;55;108,119;294;401;-143;126;110;-342;-134,153;570;-36;43;102;215;164;14,157;45;51;184;-94;-194;-66;175,-382;8;166;152;195;202;-106;-404,235;0;213;396;0;2736;120;3252,235;0;213;396;0;2736;120;3252;-58;341;70;74;-4;-2;-375;68;-6;-71
63,0,0,1,-4321,-3045;-3544;871;-1976;-4493;3763;-896;-678,8;40;63;94,-78;-108;372;218;-299;375;175;371,161;449;-262;-119;-273;78;-30;-398,26;93;481;150;-223;77;-60;-55,-18;176;71;459;42;86;191;166,0;0;0;3900;0;9832;0;12077,0;0;0;3900;0;9832;0;12077;4403;-2199;-111;331;129;-4;2266;109;-36;47
64,1,0,0,-157,-1569;2371;-189;63;-713;27;-1419;517,27;19;51;38,-87;191;215;-129;498;-79;-63;-145,-50;165;175;-40;-28;77;-11;211,455;-409;297;233;-403;67;296;402,-175;-302;-55;253;-164;-36;246;22,2164;961;0;1571;0;2118;3299;1253,2164;961;0;1571;0;2118;3299;1253;-373;185;14;1260;-179;25;240;-90;-28;113
65,0,0,1,-2240,423;-1924;-2937;1009;-125;2715;-1321;-1117,55;74;86;64,-228;270;342;22;-301;51;453;427,344;579;-125;-149;-53;37;-129;-103,-198;-234;-161;165;160;305;161;295,-98;-229;-461;332;-27;-88;-208;99,1534;0;745;3072;0;3034;0;8301,1534;0;745;3072;0;3034;0;8301;1793;-374;-26;1688;47;-125;528;-116;-70;81
66,0,0,1,-1508,3309;-645;-1332;-2107;-2040;-2823;-693;-1647,7;73;36;21,184;406;108;402;189;-21;291;542,520;-109;-41;-123;-118;134;208;-42,574;249;380;168;188;259;-202;604,116;82;185;218;118;259;236;159,1166;241;2957;3509;0;2782;1507;5050,1166;241;2957;3509;0;2782;1507;5050;2519;245;5;2885;300;88;1634;163;39;162
67,0,1,0,266,-1701;147;3014;-465;1413;-265;2036;2516,4;0;7;84,-205;-396;-374;71;-376;-272;247;68,146;103;62;-7;-9;-164;166;-80,-102;-100;489;43;97;235;-287;10,-25;-197;-59;-227;102;123;-214;241,1358;872;0;1167;0;2188;1829;362,1358;872;0;1167;0;2188;1829;362;-322;96;-5;-89;-142;-41;-247;-9;-50;42
68,0,1,0,398,-2258;29;967;1574;-1732;2330;2285;1116,7;16;88;85,184;406;108;402;189;-21;291;542,289;35;-12;-217;177;-241;-48;-268,-246;-437;-204;108;128;33;134;206,35;-150;-312;262;-56;76;-151;16,2788;1415;81;2112;0;2753;2408;1475,2788;1415;81;2112;0;2753;2408;1475;1654;-380;-69;-183;-13;-75;138;-15;-36;62
69,0,0,1,-2322,-170;-2913;805;595;-425;-2839;-848;-4888,8;39;23;115,-78;-108;372;218;-299;375;175;371,86;-119;86;-35;221;371;258;-203,19;42;-34;36;74;692;111;495,-247;-14;198;314;95;169;452;29,652;241;2131;1117;0;5819;0;6607,652;241;2131;1117;0;5819;0;6607;2731;483;36;3558;210;95;871;140;88;92
70,1,1,1,1712,1716;2493;-1888;2690;3029;1209;-455;-2204,16;44;29;114,178;35;-187;115;323;175;-191;238,354;139;25;-213;300;131;-42;-94,-51;207;-316;-45;205;339;-363;174,56;330;210;417;62;93;122;-117,6970;2703;2834;0;0;293;6760;2929,6970;2703;2834;0;0;293;6760;2929;128;1168;70;-1238;141;57;1165;7;9;-20
71,1,1,1,175,37;-186;-756;2119;-516;-5983;910;-2979,26;78;69;32,5;-145;423;71;-317;516;54;-93,-382;-101;-503;-415;416;62;-244;-516,-419;-378;-276;75;-75;18;12;-163,30;146;107;-37;138;-2;170;416,1841;3363;1574;2188;0;2852;4179;1714,1841;3363;1574;2188;0;2852;4179;1714;918;-2183;-144;-1216;-5;174;1002;-26;-129;-86
